"College","State","Type","Freshmen
Pell share","Pell change
since 2011","Total
undergraduates","Endowment
per student","Net price,
mid-income"
"Berea College","Ky.","Private","94%",1,1400,"$1,066,000","$4,400"
"Salem College","N.C.","Private","69%",16,500,"$155,000","$9,400"
"CUNY Baruch College","N.Y.","Public","56%",5,15800,"$19,000","$6,700"
"College of Mount St. Vincent","N.Y.","Private","52%",-5,2300,"$17,000","$20,500"
"College of the Ozarks","Mo.","Private","50%",-20,1500,"$403,000","$7,200"
"Agnes Scott College","Ga.","Private","47%",4,1000,"$237,000","$11,800"
"Florida International University","Fla.","Public","47%",-4,49000,"$7,000","$8,300"
"Pacific Union College","Calif.","Private","43%",5,1000,"$42,000","$19,500"
"Houghton College","N.Y.","Private","42%",-1,900,"$92,000","$18,100"
"University of New Mexico","N.M.","Public","42%",4,16200,"$43,000","$17,300"
"Brescia University","Ky.","Private","41%",-17,900,"$24,000","$13,900"
"Stockton University","N.J.","Public","41%",0,8800,"$5,000","$19,200"
"Earlham College","Ind.","Private","40%",9,700,"$619,000","$17,300"
"Lake Forest College","Ill.","Private","40%",-2,1600,"$62,000","$19,800"
"Millsaps College","Miss.","Private","40%",19,700,"$148,000","$24,500"
"Christian Brothers University","Tenn.","Private","39%",-9,1500,"$35,000","$13,800"
"Hampshire College","Mass.","Private","39%",17,500,"$110,000","$23,500"
"Lyon College","Ark.","Private","39%",-13,700,"$173,000","$12,500"
"Stony Brook University","N.Y.","Public","39%",1,18000,"$19,000","$19,200"
"University of California, Irvine","Calif.","Public","39%",1,29600,"$24,000","$10,100"
"King University","Tenn.","Private","38%",-4,1400,"$24,000","$20,100"
"Loyola University New Orleans","La.","Private","38%",5,3200,"$80,000","$20,400"
"Beloit College","Wis.","Private","37%",13,1000,"$88,000","$15,100"
"University of the Pacific","Calif.","Private","37%",2,3500,"$168,000","$14,600"
"Knox College","Ill.","Private","35%",8,1200,"$188,000","$18,800"
"New College of Florida","Fla.","Public","35%",9,600,"$78,000","$5,200"
"Willamette University","Ore.","Private","35%",8,1300,"$270,000","$29,100"
"Mount St. Mary’s University","Md.","Private","34%",6,2100,"$30,000","$22,600"
"New Mexico Institute of Mining and Technology","N.M.","Public","34%",5,1200,"$71,000","$11,000"
"Southwestern University","Texas","Private","34%",10,1500,"$235,000","$22,400"
"University at Buffalo","N.Y.","Public","34%",6,22300,"$45,000","$20,400"
"Allegheny College","Pa.","Private","33%",4,1700,"$182,000","$19,400"
"College of the Atlantic","Maine","Private","33%",-10,400,"$237,000","$18,200"
"Hanover College","Ind.","Private","33%",0,1000,"$176,000","$17,900"
"Austin College","Texas","Private","32%",0,1300,"$150,000","$20,500"
"Illinois Institute of Technology","Ill.","Private","32%",4,3100,"$100,000","$19,200"
"Rowan University","N.J.","Public","32%",1,15900,"$23,000","$23,500"
"University of Idaho","Idaho","Public","32%",-6,8400,"$53,000","$11,100"
"University of Montana","Mont.","Public","32%",-6,7000,"$45,000","$14,700"
"William Jewell College","Mo.","Private","32%",0,700,"$91,000","$15,100"
"University of Dallas","Texas","Private","31%",5,1400,"$69,000","$13,100"
"University of Evansville","Ind.","Private","31%",0,2000,"$91,000","$21,700"
"Bennington College","Vt.","Private","30%",6,700,"$58,000","$22,700"
"Kalamazoo College","Mich.","Private","30%",12,1500,"$211,000","$20,800"
"Ramapo College of New Jersey","N.J.","Public","30%",5,5400,"$3,000","$14,500"
"Rochester Institute of Technology","N.Y.","Private","30%",-5,13400,"$112,000","$25,900"
"University of California, Davis","Calif.","Public","30%",-9,31200,"$20,000","$14,200"
"Cooper Union","N.Y.","Private","29%",16,800,"$1,129,000","$4,800"
"Cornell College","Iowa","Private","29%",-4,1000,"$90,000","$17,800"
"Louisiana State University","La.","Public","29%",9,27800,"$28,000","$20,400"
"Mount Holyoke College","Mass.","Private","29%",8,1900,"$508,000","$12,200"
"Transylvania University","Ky.","Private","29%",1,1000,"$211,000","$22,800"
"University of Nevada, Reno","Nev.","Public","29%",0,16800,"$30,000","$15,100"
"University of South Florida","Fla.","Public","29%",-13,38600,"$19,000","$9,100"
"University of Texas, Austin","Texas","Public","29%",1,40000,"$160,000","$16,700"
"George Mason University","Va.","Public","28%",3,27100,"$7,000","$17,400"
"Hendrix College","Ark.","Private","28%",7,1100,"$210,000","$10,300"
"Hobart and William Smith Colleges","N.Y.","Private","28%",11,1800,"$159,000","$19,400"
"University of California, Santa Barbara","Calif.","Public","28%",-6,23200,"$16,000","$14,700"
"University of Central Florida","Fla.","Public","28%",-2,61400,"$4,000","$10,000"
"Augustana College","Ill.","Private","27%",2,2400,"$88,000","$18,900"
"University of Alaska, Fairbanks","Alaska","Public","27%",-4,5900,"$40,000","$9,900"
"Bard College","N.Y.","Private","26%",6,2100,"$75,000","$23,200"
"Binghamton University","N.Y.","Public","26%",0,14300,"$9,000","$20,400"
"Illinois Wesleyan University","Ill.","Private","26%",6,1600,"$168,000","$23,100"
"Rutgers University","N.J.","Public","26%",-3,35800,"$40,000","$15,100"
"SUNY College at Geneseo","N.Y.","Public","26%",5,4800,"$8,000","$18,400"
"University of Illinois, Urbana-Champaign","Ill.","Public","26%",5,33700,"$68,000","$11,700"
"University of Maine","Maine","Public","26%",-8,9500,"$50,000","$15,600"
"University of Nebraska, Lincoln","Neb.","Public","26%",2,20300,"$71,000","$15,500"
"Florida State University","Fla.","Public","25%",-3,32500,"$28,000","$10,700"
"Franklin & Marshall College","Pa.","Private","25%",12,2300,"$213,000","$20,000"
"Gustavus Adolphus College","Minn.","Private","25%",-3,2200,"$124,000","$17,000"
"Macalester College","Minn.","Private","25%",7,2000,"$380,000","$17,700"
"Rollins College","Fla.","Private","25%",-2,2600,"$157,000","$22,300"
"St. John’s College","N.M.","Private","25%",-19,300,"$337,000","$39,300"
"St. John’s College","Md.","Private","25%",4,400,"$380,000","$26,600"
"Susquehanna University","Pa.","Private","25%",2,2200,"$84,000","$24,600"
"University of Arizona","Ariz.","Public","25%",-7,35400,"$37,000","$16,800"
"University of California, Berkeley","Calif.","Public","25%",-2,30800,"$91,000","$14,400"
"Bard College at Simon’s Rock","Mass.","Private","24%",-12,300,"$300","$27,800"
"Berry College","Ga.","Private","24%",-5,2000,"$614,000","$20,400"
"Hofstra University","N.Y.","Private","24%",0,6100,"$143,000","$33,400"
"Lawrence University","Wis.","Private","24%",4,1400,"$335,000","$15,300"
"University of Alabama, Huntsville","Ala.","Public","24%",-10,8000,"$14,000","$18,600"
"University of California, San Diego","Calif.","Public","24%",-23,31800,"$37,000","$13,700"
"University of Oregon","Ore.","Public","24%",1,18000,"$67,000","$15,900"
"University of South Dakota","S.D.","Public","24%",-9,7100,"$57,000","$19,100"
"University of Texas, Dallas","Texas","Public","24%",-2,21200,"$40,000","$15,400"
"University of Utah","Utah","Public","24%",4,24600,"$61,000","$7,100"
"Claremont McKenna College","Calif.","Private","23%",8,1300,"$991,000","$15,700"
"College of Wooster","Ohio","Private","23%",4,1900,"$213,000","$17,800"
"St. Mary’s College of Maryland","Md.","Public","23%",9,1500,"$28,000","$15,600"
"University of Hawaii, Manoa","Hawaii","Public","23%",-5,13200,"$5,000","$14,100"
"University of Oklahoma","Okla.","Public","23%",-1,21400,"$5,000","$19,900"
"University of Rhode Island","R.I.","Public","23%",-3,14900,"$23,000","$18,100"
"University of Tennessee","Tenn.","Public","23%",-6,24300,"$43,000","$23,600"
"West Virginia University","W.Va.","Public","23%",-8,20500,"$37,000","$13,700"
"Wheaton College","Mass.","Private","23%",1,1700,"$144,000","$23,600"
"Centre College","Ky.","Private","22%",6,1300,"$320,000","$16,200"
"Grinnell College","Iowa","Private","22%",-2,1500,"$1,994,000","$20,100"
"Harvard University","Mass.","Private","22%",4,8500,"$6,768,000","$500"
"Loyola University Chicago","Ill.","Private","22%",-7,11600,"$77,000","$25,500"
"Milwaukee School of Engineering","Wis.","Private","22%",-4,2500,"$36,000","$17,800"
"St. Lawrence University","N.Y.","Private","22%",3,2300,"$179,000","$21,200"
"St. Olaf College","Minn.","Private","22%",5,3000,"$240,000","$13,700"
"Swarthmore College","Pa.","Private","22%",8,1400,"$1,920,000","$11,600"
"Thomas Aquinas College","Calif.","Private","22%",-15,500,"$58,000","$19,300"
"University of California, Los Angeles","Calif.","Public","22%",-10,31600,"$93,000","$10,200"
"University of Connecticut","Conn.","Public","22%",3,18900,"$31,000","$20,900"
"University of Florida","Fla.","Public","22%",-7,34900,"$68,000","$5,600"
"University of Kentucky","Ky.","Public","22%",-3,22200,"$88,000","$16,400"
"University of Mississippi","Miss.","Public","22%",-8,16200,"$53,000","$14,700"
"University of Tulsa","Okla.","Private","22%",1,2900,"$475,000","$23,700"
"Wellesley College","Mass.","Private","22%",3,2300,"$1,244,000","$10,800"
"Wheaton College","Ill.","Private","22%",2,2300,"$279,000","$19,200"
"Amherst College","Mass.","Private","21%",-2,1700,"$2,133,000","$7,100"
"Columbia University","N.Y.","Private","21%",3,8100,"$1,702,000","—"
"Fordham University","N.Y.","Private","21%",2,9400,"$99,000","$31,300"
"Marquette University","Wis.","Private","21%",1,8000,"$114,000","$22,300"
"Massachusetts Institute of Technology","Mass.","Private","21%",2,4400,"$6,406,000","—"
"Michigan Technological University","Mich.","Public","21%",-7,5600,"$28,000","$11,300"
"Pepperdine University","Calif.","Private","21%",-10,3500,"$277,000","$27,700"
"Pomona College","Calif.","Private","21%",6,1500,"$1,981,000","$5,800"
"Seattle University","Wash.","Private","21%",-3,4200,"$74,000","$30,800"
"Trinity University","Texas","Private","21%",4,2500,"$695,000","$9,600"
"Truman State University","Mo.","Public","21%",1,4400,"$19,000","$10,900"
"University of Missouri","Mo.","Public","21%",-1,23400,"$63,000","$14,100"
"University of New Hampshire","N.H.","Public","21%",-3,11800,"$40,000","$17,200"
"University of North Carolina, Chapel Hill","N.C.","Public","21%",1,19400,"$276,000","$13,500"
"University of Southern California","Calif.","Private","21%",3,19800,"$382,000","$18,600"
"Yale University","Conn.","Private","21%",8,4700,"$6,772,000","$4,000"
"Boston University","Mass.","Private","20%",3,16900,"$158,000","$15,000"
"Chapman University","Calif.","Private","20%",2,7400,"$76,000","$32,500"
"Clark University","Mass.","Private","20%",1,2200,"$214,000","$20,800"
"Dickinson College","Pa.","Private","20%",8,1900,"$291,000","$3,900"
"Drake University","Iowa","Private","20%",1,2800,"$100,000","$24,800"
"Gettysburg College","Pa.","Private","20%",7,2500,"$159,000","$23,400"
"Johns Hopkins University","Md.","Private","20%",8,6300,"$1,347,000","$4,100"
"Muhlenberg College","Pa.","Private","20%",12,2000,"$145,000","$18,700"
"Northwestern University","Ill.","Private","20%",5,8600,"$1,288,000","$6,900"
"Rensselaer Polytechnic Institute","N.Y.","Private","20%",1,6300,"$156,000","$24,800"
"Stanford University","Calif.","Private","20%",4,6400,"$5,969,000","$4,600"
"Stevens Institute of Technology","N.J.","Private","20%",-5,3800,"$66,000","$32,400"
"Texas A&M University","Texas","Public","20%",-3,55600,"$329,000","$19,700"
"University of Kansas","Kan.","Public","20%",-2,19100,"$132,000","$17,200"
"University of Massachusetts, Amherst","Mass.","Public","20%",-5,24200,"$20,000","$11,300"
"Williams College","Mass.","Private","20%",-1,2000,"$1,872,000","$1,300"
"Babson College","Mass.","Private","19%",2,2500,"$244,000","$19,400"
